population_size,reference_population_size,metric,candidate_mean,reference_mean,absolute_difference,material_difference_tolerance,accepted_metric
20,200,success_rate,0.1335833333333333,0.13753,0.003946666666666709,0.01,True
20,200,volume_success_rate,0.1342167790009397,0.13830191436668443,0.00408513536574473,0.01,True
20,200,mean_operational_readiness,0.13359304081905032,0.13913978071599936,0.005546739896949038,0.01,True
20,200,D1,0.35704575593672827,0.36707740045678783,0.010031644520059557,0.01,False
20,200,D2,0.005305966666666671,0.0060324215428741315,0.0007264548762074604,0.01,True
20,200,D3,0.006977870632776997,0.007793595542214865,0.0008157249094378682,0.01,True
20,200,D4,0.005377633333333334,0.006068107743370838,0.0006904744100375039,0.01,True
20,200,D5,0.2932579775257463,0.30872737829474933,0.01546940076900305,0.01,False
20,200,SVC,0.44999999997329376,0.4500000000092511,3.595734821004726e-11,0.01,True
20,200,E_GMI_DBL,0.13678242973959945,0.14205728182410132,0.005274852084501874,0.01,True
20,200,E_GMI_DMM,0.11765998522770293,0.12221624443811123,0.004556259210408295,0.01,True
20,200,E_GMI_ISF,0.14926724306380512,0.15326704288744955,0.003999799823644429,0.01,True
50,200,success_rate,0.13590666666666668,0.13753,0.0016233333333333377,0.01,True
50,200,volume_success_rate,0.13611674092664838,0.13830191436668443,0.002185173440036048,0.01,True
50,200,mean_operational_readiness,0.13620920650757834,0.13913978071599936,0.002930574208421022,0.01,True
50,200,D1,0.36168394235352513,0.36707740045678783,0.005393458103262694,0.01,True
50,200,D2,0.005848213333333337,0.0060324215428741315,0.00018420820954079438,0.01,True
50,200,D3,0.006992568179837213,0.007793595542214865,0.0008010273623776524,0.01,True
50,200,D4,0.005754720000000001,0.006068107743370838,0.0003133877433708363,0.01,True
50,200,D5,0.30076658867119593,0.30872737829474933,0.0079607896235534,0.01,True
50,200,SVC,0.45000000000568047,0.4500000000092511,3.5706437806481972e-12,0.01,True
50,200,E_GMI_DBL,0.13925507419169478,0.14205728182410132,0.002802207632406545,0.01,True
50,200,E_GMI_DMM,0.11977635538814661,0.12221624443811123,0.0024398890499646164,0.01,True
50,200,E_GMI_ISF,0.1511325476410268,0.15326704288744955,0.0021344952464227573,0.01,True
200,200,success_rate,0.13753,0.13753,0.0,0.01,True
200,200,volume_success_rate,0.13830191436668443,0.13830191436668443,0.0,0.01,True
200,200,mean_operational_readiness,0.13913978071599936,0.13913978071599936,0.0,0.01,True
200,200,D1,0.36707740045678783,0.36707740045678783,0.0,0.01,True
200,200,D2,0.0060324215428741315,0.0060324215428741315,0.0,0.01,True
200,200,D3,0.007793595542214865,0.007793595542214865,0.0,0.01,True
200,200,D4,0.006068107743370838,0.006068107743370838,0.0,0.01,True
200,200,D5,0.30872737829474933,0.30872737829474933,0.0,0.01,True
200,200,SVC,0.4500000000092511,0.4500000000092511,0.0,0.01,True
200,200,E_GMI_DBL,0.14205728182410132,0.14205728182410132,0.0,0.01,True
200,200,E_GMI_DMM,0.12221624443811123,0.12221624443811123,0.0,0.01,True
200,200,E_GMI_ISF,0.15326704288744955,0.15326704288744955,0.0,0.01,True
