metric,converged,convergence_step,stable_window_count,last_window_mean,last_window_slope
success_rate,True,499,3,0.14036,5.150860344137551e-05
volume_success_rate,True,499,3,0.14034202179130623,-2.7216909551155162e-05
mean_operational_readiness,True,499,3,0.1464911876243575,-6.500409063954146e-05
D1,True,399,3,0.3873042755129012,-0.00010237564478082363
D2,True,499,3,0.006700156842022735,-1.8479190372092016e-05
D3,True,599,3,0.009599981827108422,-1.4245486693867855e-05
D4,True,499,3,0.006622213901735277,-1.9277821325365383e-05
D5,True,449,3,0.33293481428798816,-0.00013057841890859787
SVC,True,299,3,0.44999263442455295,1.4633292402642624e-07
E_GMI_DBL,True,499,3,0.14907605679910024,-6.310673363765674e-05
E_GMI_DMM,True,499,3,0.1286220349481848,-6.145414832511399e-05
E_GMI_ISF,True,499,3,0.15882475182737169,-5.344313384019077e-05
