seed,steady_state_step,ranking
5000,549,ISF>DBL>DMM
5001,599,ISF>DBL>DMM
5002,599,ISF>DBL>DMM
5003,599,ISF>DBL>DMM
5004,499,ISF>DBL>DMM
5005,599,ISF>DBL>DMM
5006,499,ISF>DBL>DMM
5007,649,ISF>DBL>DMM
5008,599,ISF>DBL>DMM
5009,599,ISF>DBL>DMM
5010,599,ISF>DBL>DMM
5011,599,ISF>DBL>DMM
5012,549,ISF>DBL>DMM
5013,549,ISF>DBL>DMM
5014,549,ISF>DBL>DMM
5015,549,ISF>DBL>DMM
5016,599,ISF>DBL>DMM
5017,699,ISF>DBL>DMM
5018,599,ISF>DBL>DMM
5019,599,ISF>DBL>DMM
5020,599,ISF>DBL>DMM
5021,549,ISF>DBL>DMM
5022,599,ISF>DBL>DMM
5023,549,ISF>DBL>DMM
5024,699,ISF>DBL>DMM
5025,549,ISF>DBL>DMM
5026,549,ISF>DBL>DMM
5027,599,ISF>DBL>DMM
5028,599,ISF>DBL>DMM
5029,549,ISF>DBL>DMM
