seed,steady_state_step,target_uid,target_degree,affected_organizations,maximum_network_distance,mean_D2_loss,maximum_D2_loss
6000,549,6,18,50,3,0.0056000000000000025,0.028000000000000025
6001,599,0,16,50,3,0.006600000000000005,0.03200000000000002
6002,599,3,20,50,3,0.007160000000000004,0.03800000000000003
6003,599,0,21,50,3,0.005600000000000004,0.05200000000000007
6004,599,6,22,50,3,0.007909595605616736,0.12947978028083668
6005,599,0,22,50,3,0.007287585564841559,0.06037927824207771
6006,549,5,18,50,3,0.004880000000000003,0.018000000000000013
6007,599,4,23,50,3,0.005320000000000003,0.024000000000000018
6008,549,0,19,50,3,0.005080000000000004,0.024000000000000014
6009,599,0,19,50,3,0.006800000000000004,0.038000000000000034
6010,549,4,21,50,2,0.005800000000000003,0.026000000000000023
6011,599,5,18,50,3,0.005200000000000002,0.02600000000000002
6012,599,5,20,50,3,0.006040000000000005,0.030000000000000027
6013,549,4,17,50,3,0.005480000000000002,0.03000000000000002
6014,549,5,18,50,3,0.005120000000000003,0.024000000000000014
6015,549,4,24,50,3,0.007247204138252539,0.05836020691262671
6016,499,4,17,50,3,0.005320000000000003,0.03000000000000002
6017,549,4,24,50,3,0.005120000000000002,0.01800000000000001
6018,599,2,18,50,3,0.0059600000000000035,0.028000000000000025
6019,599,0,20,50,3,0.006080000000000003,0.022000000000000013
6020,599,0,19,50,2,0.006496549421964871,0.05682747109824335
6021,599,0,21,50,2,0.005400000000000003,0.018000000000000013
6022,649,0,25,50,3,0.005440000000000003,0.01800000000000001
6023,599,2,18,50,3,0.004840000000000003,0.024000000000000014
6024,549,0,16,50,3,0.004360000000000003,0.016000000000000007
6025,649,5,18,50,3,0.005080000000000004,0.024000000000000018
6026,599,0,17,50,3,0.005640000000000003,0.02000000000000001
6027,599,0,20,50,3,0.005760000000000003,0.02000000000000001
6028,599,5,19,50,3,0.005120000000000002,0.016000000000000007
6029,599,0,17,50,3,0.007640000000000004,0.024000000000000014
