seed,recovery_step,framework,E_GMI,pre_shock_E_GMI
6000,0,DBL,0.14102852904456825,0.14214852904456826
6000,0,DMM,0.12109550596022708,0.12221550596022712
6000,0,ISF,0.15212134484970055,0.15324134484970053
6000,1,DBL,0.1413427560563328,0.14214852904456826
6000,1,DMM,0.12142131473418068,0.12221550596022712
6000,1,ISF,0.15246154114899146,0.15324134484970053
6000,2,DBL,0.14131946952786215,0.14214852904456826
6000,2,DMM,0.12130080613265522,0.12221550596022712
6000,2,ISF,0.1523922175222966,0.15324134484970053
6000,3,DBL,0.14111922072996086,0.14214852904456826
6000,3,DMM,0.12108078130316023,0.12221550596022712
6000,3,ISF,0.1522070083681356,0.15324134484970053
6000,4,DBL,0.14143956190801757,0.14214852904456826
6000,4,DMM,0.12142327497025515,0.12221550596022712
6000,4,ISF,0.15251360339705786,0.15324134484970053
6000,5,DBL,0.14153432682519107,0.14214852904456826
6000,5,DMM,0.12156554721415053,0.12221550596022712
6000,5,ISF,0.15265021356718692,0.15324134484970053
6000,6,DBL,0.1414990052588626,0.14214852904456826
6000,6,DMM,0.12152135906504118,0.12221550596022712
6000,6,ISF,0.15261878074380772,0.15324134484970053
6000,7,DBL,0.1414564541238607,0.14214852904456826
6000,7,DMM,0.12145080187891401,0.12221550596022712
6000,7,ISF,0.1525815525768961,0.15324134484970053
6000,8,DBL,0.14151983208936314,0.14214852904456826
6000,8,DMM,0.1215947060072903,0.12221550596022712
6000,8,ISF,0.15268714053942148,0.15324134484970053
6000,9,DBL,0.14159339049555547,0.14214852904456826
6000,9,DMM,0.12171074645309911,0.12221550596022712
6000,9,ISF,0.15279016874269633,0.15324134484970053
6000,10,DBL,0.14161132728887846,0.14214852904456826
6000,10,DMM,0.12175666900135639,0.12221550596022712
6000,10,ISF,0.1528027481973438,0.15324134484970053
6001,0,DBL,0.14348211850246512,0.14480211850246513
6001,0,DMM,0.12334530153027216,0.12466530153027218
6001,0,ISF,0.15406342814585008,0.1553834281458501
6001,1,DBL,0.1435089493583816,0.14480211850246513
6001,1,DMM,0.1233843737942217,0.12466530153027218
6001,1,ISF,0.15414666125654744,0.1553834281458501
6001,2,DBL,0.14367268381564435,0.14480211850246513
6001,2,DMM,0.12352786251659909,0.12466530153027218
6001,2,ISF,0.154309986065566,0.1553834281458501
6001,3,DBL,0.1436310852696666,0.14480211850246513
6001,3,DMM,0.12348974051889618,0.12466530153027218
6001,3,ISF,0.15428084834507977,0.1553834281458501
6001,4,DBL,0.14362120669460834,0.14480211850246513
6001,4,DMM,0.12344660336114735,0.12466530153027218
6001,4,ISF,0.15426220537900323,0.1553834281458501
6001,5,DBL,0.14389657969105127,0.14480211850246513
6001,5,DMM,0.12371684014655349,0.12466530153027218
6001,5,ISF,0.15452635127224826,0.1553834281458501
6001,6,DBL,0.1438508872275653,0.14480211850246513
6001,6,DMM,0.12365670979625153,0.12466530153027218
6001,6,ISF,0.15448326224762834,0.1553834281458501
6001,7,DBL,0.14372689161334906,0.14480211850246513
6001,7,DMM,0.12351775045295556,0.12466530153027218
6001,7,ISF,0.1543543270035009,0.1553834281458501
6001,8,DBL,0.1439462959114172,0.14480211850246513
6001,8,DMM,0.12372009829652553,0.12466530153027218
6001,8,ISF,0.15453597046425593,0.1553834281458501
6001,9,DBL,0.14403472612352394,0.14480211850246513
6001,9,DMM,0.12382127038322413,0.12466530153027218
6001,9,ISF,0.15463363705579591,0.1553834281458501
6001,10,DBL,0.14428908873138854,0.14480211850246513
6001,10,DMM,0.12406076582818873,0.12466530153027218
6001,10,ISF,0.15486455431550508,0.1553834281458501
6002,0,DBL,0.1413868295376982,0.14281882953769823
6002,0,DMM,0.12130943694746853,0.1227414369474685
6002,0,ISF,0.15232717484231753,0.15375917484231755
6002,1,DBL,0.1417956986568756,0.14281882953769823
6002,1,DMM,0.12175203868059807,0.1227414369474685
6002,1,ISF,0.15276426499231516,0.15375917484231755
6002,2,DBL,0.14233116739366947,0.14281882953769823
6002,2,DMM,0.12231261197906505,0.1227414369474685
6002,2,ISF,0.15328024133931284,0.15375917484231755
6002,3,DBL,0.14227522175572743,0.14281882953769823
6002,3,DMM,0.12220966381156265,0.1227414369474685
6002,3,ISF,0.1532219581593705,0.15375917484231755
6002,4,DBL,0.14234097003054422,0.14281882953769823
6002,4,DMM,0.12228003260741035,0.1227414369474685
6002,4,ISF,0.1533047406430271,0.15375917484231755
6002,5,DBL,0.14236424733986472,0.14281882953769823
6002,5,DMM,0.12235605322734104,0.1227414369474685
6002,5,ISF,0.1533519234770105,0.15375917484231755
6002,6,DBL,0.14266408406524153,0.14281882953769823
6002,6,DMM,0.12268361169626706,0.1227414369474685
6002,6,ISF,0.15364196311514228,0.15375917484231755
6002,7,DBL,0.1425277420561108,0.14281882953769823
6002,7,DMM,0.12250551739581457,0.1227414369474685
6002,7,ISF,0.15348403396051144,0.15375917484231755
6002,8,DBL,0.1425399178871627,0.14281882953769823
6002,8,DMM,0.1224426557813711,0.1227414369474685
6002,8,ISF,0.1534551473889732,0.15375917484231755
6002,9,DBL,0.1425218988330174,0.14281882953769823
6002,9,DMM,0.12247233326662496,0.1227414369474685
6002,9,ISF,0.15348995590693057,0.15375917484231755
6002,10,DBL,0.14261164715995506,0.14281882953769823
6002,10,DMM,0.12259223680217377,0.1227414369474685
6002,10,ISF,0.15359129625452878,0.15375917484231755
6003,0,DBL,0.14114849460119758,0.14226849460119756
6003,0,DMM,0.12106649160702339,0.12218649160702341
6003,0,ISF,0.1521095900528718,0.15322959005287182
6003,1,DBL,0.1416554897246317,0.14226849460119756
6003,1,DMM,0.12159618321281072,0.12218649160702341
6003,1,ISF,0.15263041263823277,0.15322959005287182
6003,2,DBL,0.14172356594559718,0.14226849460119756
6003,2,DMM,0.12163124378648231,0.12218649160702341
6003,2,ISF,0.1526954627718865,0.15322959005287182
6003,3,DBL,0.14205295846991348,0.14226849460119756
6003,3,DMM,0.12198803541089659,0.12218649160702341
6003,3,ISF,0.15301852045471392,0.15322959005287182
6003,4,DBL,0.1418387948925287,0.14226849460119756
6003,4,DMM,0.12175140460185074,0.12218649160702341
6003,4,ISF,0.15279891148307498,0.15322959005287182
6003,5,DBL,0.14182001158669164,0.14226849460119756
6003,5,DMM,0.12179504200898586,0.12218649160702341
6003,5,ISF,0.15283216269086877,0.15322959005287182
6003,6,DBL,0.14190764294697128,0.14226849460119756
6003,6,DMM,0.12186521986797827,0.12218649160702341
6003,6,ISF,0.15290270487450677,0.15322959005287182
6003,7,DBL,0.14213605468004537,0.14226849460119756
6003,7,DMM,0.1220997105697908,0.12218649160702341
6003,7,ISF,0.15310924821447194,0.15322959005287182
6003,8,DBL,0.14233032317845795,0.14226849460119756
6003,8,DMM,0.12230098945756712,0.12218649160702341
6003,8,ISF,0.15331520068763782,0.15322959005287182
6003,9,DBL,0.14225809730690225,0.14226849460119756
6003,9,DMM,0.1222331055675879,0.12218649160702341
6003,9,ISF,0.15326487811134037,0.15322959005287182
6003,10,DBL,0.14233713703720408,0.14226849460119756
6003,10,DMM,0.1223329464759016,0.12218649160702341
6003,10,ISF,0.15335058646444025,0.15322959005287182
6004,0,DBL,0.1414353824386081,0.14301730155973144
6004,0,DMM,0.12148352899677166,0.12306544811789501
6004,0,ISF,0.15248362476558394,0.15406554388670726
6004,1,DBL,0.14165454779455686,0.14301730155973144
6004,1,DMM,0.12170178734715446,0.12306544811789501
6004,1,ISF,0.15271727848432204,0.15406554388670726
6004,2,DBL,0.14172777184338664,0.14301730155973144
6004,2,DMM,0.12174231813052963,0.12306544811789501
6004,2,ISF,0.15278134712868538,0.15406554388670726
6004,3,DBL,0.1419490564112399,0.14301730155973144
6004,3,DMM,0.12196079629823726,0.12306544811789501
6004,3,ISF,0.15299795440016148,0.15406554388670726
6004,4,DBL,0.14204307428773602,0.14301730155973144
6004,4,DMM,0.12206657410259077,0.12306544811789501
6004,4,ISF,0.15310890552620804,0.15406554388670726
6004,5,DBL,0.14201769880670226,0.14301730155973144
6004,5,DMM,0.12201196795085723,0.12306544811789501
6004,5,ISF,0.15307614562973368,0.15406554388670726
6004,6,DBL,0.14207416083528915,0.14301730155973144
6004,6,DMM,0.12213605792215834,0.12306544811789501
6004,6,ISF,0.1531733209311888,0.15406554388670726
6004,7,DBL,0.14194440504143402,0.14301730155973144
6004,7,DMM,0.1220298207625193,0.12306544811789501
6004,7,ISF,0.15309076289533816,0.15406554388670726
6004,8,DBL,0.1420812502329148,0.14301730155973144
6004,8,DMM,0.12217457836930529,0.12306544811789501
6004,8,ISF,0.15321812881261898,0.15406554388670726
6004,9,DBL,0.14204891565317262,0.14301730155973144
6004,9,DMM,0.12214648054064932,0.12306544811789501
6004,9,ISF,0.1531768555176395,0.15406554388670726
6004,10,DBL,0.14180410613507077,0.14301730155973144
6004,10,DMM,0.12191786643420657,0.12306544811789501
6004,10,ISF,0.152979038384596,0.15406554388670726
