framework,threshold,seed_count,precision_mean,precision_ci_lower,precision_ci_upper,recall_mean,recall_ci_lower,recall_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,f1_score_mean,f1_score_ci_lower,f1_score_ci_upper,balanced_accuracy_mean,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,event_coverage_mean,event_coverage_ci_lower,event_coverage_ci_upper,volume_coverage_mean,volume_coverage_ci_lower,volume_coverage_ci_upper,eligible_success_rate_mean,eligible_success_rate_ci_lower,eligible_success_rate_ci_upper
DBL,0.0,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DBL,0.01,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DBL,0.02,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DBL,0.03,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DBL,0.04,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DBL,0.05,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DBL,0.06,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DBL,0.07,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DBL,0.08,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DBL,0.09,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DBL,0.1,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DBL,0.2,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBL,0.3,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBL,0.4,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBL,0.5,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBL,0.6,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBL,0.7,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBL,0.8,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBL,0.9,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBL,1.0,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMM,0.0,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DMM,0.01,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DMM,0.02,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DMM,0.03,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DMM,0.04,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DMM,0.05,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DMM,0.06,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DMM,0.07,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DMM,0.08,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DMM,0.09,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DMM,0.1,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
DMM,0.2,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMM,0.3,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMM,0.4,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMM,0.5,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMM,0.6,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMM,0.7,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMM,0.8,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMM,0.9,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMM,1.0,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISF,0.0,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
ISF,0.01,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
ISF,0.02,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
ISF,0.03,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
ISF,0.04,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
ISF,0.05,30,0.1361133333333333,0.13489920456387336,0.13732746210279326,1.0,1.0,1.0,0.0,0.0,0.0,0.23959829323545154,0.23771514914791425,0.24148143732298882,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.1361133333333333,0.13489920456387336,0.13732746210279326
