level_index,level,dimension,initial_mean
0,low,D1,0.16679957308150317
0,low,D2,0.1643514389445536
0,low,D3,0.1682832625583495
0,low,D4,0.16875231963507117
0,low,D5,0.17119733535089482
0,low,SVC,0.16575814285425505
1,low_moderate,D1,0.33186694544882844
1,low_moderate,D2,0.3277292640685818
1,low_moderate,D3,0.33509245912647795
1,low_moderate,D4,0.33917227264766453
1,low_moderate,D5,0.3292774838431727
1,low_moderate,SVC,0.33326797305363676
2,neutral,D1,0.5029784422486895
2,neutral,D2,0.5018400043497863
2,neutral,D3,0.5001942996037101
2,neutral,D4,0.508880777942637
2,neutral,D5,0.5010497072195951
2,neutral,SVC,0.4983834115723408
3,high_moderate,D1,0.6671098148579648
3,high_moderate,D2,0.6715929357567123
3,high_moderate,D3,0.662204290081228
3,high_moderate,D4,0.6690157225012691
3,high_moderate,D5,0.6686940108832998
3,high_moderate,SVC,0.6696564678871261
4,high,D1,0.8338195565938664
4,high,D2,0.8343258931382294
4,high,D3,0.8332905998859704
4,high,D4,0.8299968544212952
4,high,D5,0.8317919471171824
4,high,SVC,0.8342964612830459
