input_name,role,kind,required,relative_path,exists,size_bytes,sha256
baseline_table_1,Baseline dimension calibration and paper Table 1,csv,True,outputs/calibration/baseline/table_1_baseline_dimensions.csv,True,658,6d13d8d2c298b9b1cc850c2da928c51134d76a465dc4095f06ef778b9fbc67ee
baseline_metadata,Baseline-calibration decision,json,True,outputs/calibration/baseline/baseline_calibration_metadata.json,True,383,fbcf555f5d673927c3cb6f1de1229b5951078561b04bc4e79013b254ca176852
time_convergence_metadata,Time-horizon convergence decision,json,True,outputs/convergence/time/metadata.json,True,227,02ae1d7db03478fe4c55053d19b1e88302f95b2fe1dd0123067b39e378cdab34
seed_convergence_metadata,Seed-count convergence decision,json,True,outputs/convergence/seeds/metadata.json,True,246,e7cf93d046edca8dedf9b423f9c8bf5a8d8d3048ee471b628d741ff4262f29ba
population_convergence_metadata,Population-size convergence decision,json,True,outputs/convergence/population/metadata.json,True,238,6e7b58b02c5eb9a500f624a67440193942e7653af6d75723baed8e72f3d22142
experiment_1_metadata,Framework-comparison experiment decision,json,True,outputs/experiments/experiment_1/metadata.json,True,172,d7886da5f0035ed759299dfa276414655eae6aef82303cee78e0e145dc5d407f
experiment_1_summary,Framework-comparison summary,csv,True,outputs/experiments/experiment_1/framework_summary.csv,True,407,bbf59038fbea2ca37616a6423022616c1d64f8eee8b1588d22a60954e7145e4b
experiment_2_metadata,Security propagation and recovery decision,json,True,outputs/experiments/experiment_2/metadata.json,True,206,6048be08ac67f60a1bc5139630bc0167c968189872c0eae73ba38d20088ee052
experiment_2_summary,Security recovery summary,csv,True,outputs/experiments/experiment_2/framework_recovery_summary.csv,True,239,c2d0fab3daeca492d42937829acb498118625bfeb0c67f0ad5da28f6487ad41a
experiment_3_metadata,Maturity-threshold experiment decision,json,True,outputs/experiments/experiment_3/metadata.json,True,194,2c917344f697d279d5c7faf3cd37974b4664efbd60523d93a762a6b0ad207207
experiment_3_summary,Recommended framework thresholds,csv,True,outputs/experiments/experiment_3/threshold_recommendations.csv,True,281,282d24f1d79d0b8e3f9e6e5f8b25545ded949ada6503f3d8d4dbaa230b7bb174
experiment_4_metadata,Maturity-distribution endpoint decision,json,True,outputs/experiments/experiment_4/metadata.json,True,281,3134b45e49afb85d0dcdac432bb554214626415c48b1a8853a62151f7249a892
experiment_4_summary,Maturity-distribution sweep summary,csv,True,outputs/experiments/experiment_4/level_summary.csv,True,2266,0fa3c22de8c1085b94b010011ac467df16f76ac6cce17025549a5511f98e153b
sensitivity_metadata,Global sensitivity decision,json,True,outputs/sensitivity/global/metadata.json,True,891,b42c93462c7982cfcebd1c9bf194985fb7f437eae3960d81cbdac6b5a53f51fc
sensitivity_coverage,P1-P21 implementation and resolution matrix,csv,True,outputs/sensitivity/global/coverage_matrix.csv,True,1956,944cfe04f33d3efd63464a6b1b4a8ec1cb245ac2597f3e6d1fb74e7c55ae4bd6
sensitivity_stability,Sensitivity robustness decisions,csv,True,outputs/sensitivity/global/stability_summary.csv,True,10571,26ecc4c46ea38eef679bf6440fc6add70027ff58f27fdf8a256e2b1fdaafe6c7
