code,category,implementation,config,resolution_status,final_status
P1,III,sgb.sensitivity,configs/studies/sensitivity.yaml,direct_sensitivity_implemented,implemented
P2,III,sgb.sensitivity,configs/studies/sensitivity.yaml,direct_sensitivity_implemented,implemented
P3,III,sgb.sensitivity,configs/studies/sensitivity.yaml,direct_sensitivity_implemented,implemented
P4,III,sgb.sensitivity,configs/studies/sensitivity.yaml,direct_sensitivity_implemented,implemented
P5,III,sgb.sensitivity,configs/studies/sensitivity.yaml,direct_sensitivity_implemented,implemented
P6,III,sgb.sensitivity,configs/studies/sensitivity.yaml,direct_sensitivity_implemented,implemented
P7,III,sgb.sensitivity,configs/studies/sensitivity.yaml,direct_sensitivity_implemented,implemented
P8,III,sgb.sensitivity,configs/studies/sensitivity.yaml,direct_sensitivity_implemented,implemented
P9,I,sgb.sensitivity,configs/studies/sensitivity.yaml,simulation_envelope_complete_public_calibration_complete,implemented
P10,II,sgb.sensitivity,configs/studies/sensitivity.yaml,direct_sensitivity_implemented,implemented
P11,II,sgb.sensitivity,configs/studies/sensitivity.yaml,direct_sensitivity_implemented,implemented
P12,II,sgb.sensitivity,configs/studies/sensitivity.yaml,direct_sensitivity_implemented,implemented
P13,III,sgb.sensitivity,configs/studies/sensitivity.yaml,direct_sensitivity_implemented,implemented
P14,II,sgb.sensitivity,configs/studies/sensitivity.yaml,direct_sensitivity_implemented,implemented
P15,II,population_convergence,configs/studies/population_convergence.yaml,linked_study_implemented,implemented
P16,II,time_convergence,configs/studies/time_convergence.yaml,linked_study_implemented,implemented
P17,II,seed_convergence,configs/studies/seed_convergence.yaml,linked_study_implemented,implemented
P18,II,steady_state_shock_and_recovery,configs/experiments/experiment_2.yaml,linked_study_implemented,implemented
P19,II,full_range_threshold_scan,configs/experiments/experiment_3.yaml,linked_study_implemented,implemented
P20,II,maturity_endpoint_verification,configs/experiments/experiment_4.yaml,linked_study_implemented,implemented
P21,II,sgb.sensitivity,configs/studies/sensitivity.yaml,direct_sensitivity_implemented,implemented
