seed,framework,target_uid,max_cascade_depth,fraction_agents_affected,recovery_time
0,DBL,0,3,1.0,
0,DMM,0,3,1.0,
0,ISF,0,3,1.0,
1,DBL,0,2,0.98,
1,DMM,0,2,1.0,
1,ISF,0,2,1.0,
2,DBL,0,3,1.0,
2,DMM,0,3,1.0,
2,ISF,0,3,1.0,
3,DBL,5,3,1.0,
3,DMM,5,3,1.0,
3,ISF,5,3,1.0,
4,DBL,3,3,0.98,
4,DMM,3,3,1.0,
4,ISF,3,3,1.0,
5,DBL,4,3,1.0,
5,DMM,4,3,1.0,
5,ISF,4,3,1.0,
6,DBL,2,3,1.0,
6,DMM,2,3,0.98,
6,ISF,2,3,1.0,
7,DBL,0,3,1.0,
7,DMM,0,3,1.0,
7,ISF,0,3,1.0,
8,DBL,0,2,1.0,
8,DMM,0,2,1.0,
8,ISF,0,2,1.0,
9,DBL,4,2,1.0,
9,DMM,4,2,1.0,
9,ISF,4,2,1.0,
10,DBL,0,3,1.0,
10,DMM,0,3,1.0,
10,ISF,0,3,1.0,
11,DBL,0,3,1.0,
11,DMM,0,3,1.0,
11,ISF,0,3,1.0,
12,DBL,4,3,1.0,
12,DMM,4,3,1.0,
12,ISF,4,3,1.0,
13,DBL,4,3,1.0,
13,DMM,4,3,0.98,
13,ISF,4,3,1.0,
14,DBL,4,3,1.0,
14,DMM,4,3,1.0,
14,ISF,4,3,1.0,
15,DBL,4,2,1.0,
15,DMM,4,2,1.0,
15,ISF,4,2,1.0,
16,DBL,4,2,1.0,
16,DMM,4,2,1.0,
16,ISF,4,2,1.0,
17,DBL,0,3,1.0,
17,DMM,0,3,1.0,
17,ISF,0,3,1.0,
18,DBL,8,3,0.98,
18,DMM,8,3,1.0,
18,ISF,8,3,1.0,
19,DBL,0,3,0.96,
19,DMM,0,3,0.98,
19,ISF,0,3,1.0,
20,DBL,7,3,1.0,
20,DMM,7,3,0.98,
20,ISF,7,3,0.96,
21,DBL,4,2,1.0,
21,DMM,4,2,1.0,
21,ISF,4,2,1.0,
22,DBL,1,2,0.98,
22,DMM,1,2,1.0,
22,ISF,1,2,1.0,
23,DBL,0,2,0.98,
23,DMM,0,2,1.0,
23,ISF,0,2,1.0,
24,DBL,4,3,1.0,
24,DMM,4,3,1.0,
24,ISF,4,3,1.0,
25,DBL,6,3,1.0,
25,DMM,6,3,0.98,
25,ISF,6,3,0.98,
26,DBL,5,3,1.0,
26,DMM,5,3,1.0,
26,ISF,5,3,1.0,
27,DBL,6,2,1.0,
27,DMM,6,2,1.0,
27,ISF,6,2,1.0,
28,DBL,3,3,1.0,
28,DMM,3,3,0.98,
28,ISF,3,3,1.0,
29,DBL,7,3,1.0,
29,DMM,7,3,1.0,
29,ISF,7,3,0.98,
