profile,beta_alpha,beta_beta,seed,framework,throughput,recovery_time,steady_E_GMI,success_rate
low,1,3,0,ISF,7.404,1.0,0.03718811613074392,0.05018181818181819
low,1,3,1,ISF,7.266,1.0,0.03372152259163647,0.05134615384615383
low,1,3,2,ISF,7.61,,0.038756668475104214,0.0492156862745098
low,1,3,3,ISF,7.442,1.0,0.03477490409276915,0.05247706422018349
low,1,3,4,ISF,7.494,1.0,0.03370471058383672,0.04789915966386554
low,1,3,5,ISF,6.548,1.0,0.033037054894180164,0.05148936170212766
low,1,3,6,ISF,7.63,1.0,0.031462458408831155,0.044444444444444446
low,1,3,7,ISF,7.494,1.0,0.03725115697137991,0.05105263157894737
low,1,3,8,ISF,6.784,1.0,0.03391728554656193,0.051009174311926614
low,1,3,9,ISF,7.728,1.0,0.03793929494872763,0.05384615384615384
low,1,3,10,ISF,8.476,1.0,0.04127123651820502,0.05105691056910569
low,1,3,11,ISF,7.234,1.0,0.03360709643582613,0.04104347826086957
low,1,3,12,ISF,8.04,1.0,0.039044095519288724,0.05175438596491227
low,1,3,13,ISF,7.95,,0.03822628443486535,0.055596330275229366
low,1,3,14,ISF,7.088,1.0,0.030680871176630254,0.04972477064220184
low,1,3,15,ISF,7.928,1.0,0.03664635016529455,0.053982300884955745
low,1,3,16,ISF,7.296,1.0,0.03825092437206773,0.059454545454545454
low,1,3,17,ISF,8.442,1.0,0.03329866660424916,0.05142857142857144
low,1,3,18,ISF,7.534,1.0,0.03296892516579748,0.04803418803418804
low,1,3,19,ISF,7.698,1.0,0.03983309628902321,0.046218487394957986
low,1,3,20,ISF,7.47,1.0,0.03975341052455415,0.051000000000000004
low,1,3,21,ISF,7.76,1.0,0.03556516968837601,0.05675213675213674
low,1,3,22,ISF,6.9,1.0,0.03519760439743253,0.04846153846153846
low,1,3,23,ISF,7.878,1.0,0.035365863402040496,0.05293103448275862
low,1,3,24,ISF,8.304,1.0,0.035253002176463696,0.05322033898305085
low,1,3,25,ISF,7.678,1.0,0.035748257158291774,0.05563636363636362
low,1,3,26,ISF,8.168,1.0,0.03595928700457728,0.051570247933884296
low,1,3,27,ISF,7.022,1.0,0.0367587760487675,0.04780952380952381
low,1,3,28,ISF,8.086,1.0,0.03535534790743085,0.052991452991452984
low,1,3,29,ISF,7.048,1.0,0.03422165687632548,0.04942307692307692
medium_low,2,2,0,ISF,16.928,,0.05783175617471504,0.05487603305785124
medium_low,2,2,1,ISF,18.752,,0.0678670854121331,0.06504672897196262
