code,scenario,seed,framework,classification_agreement,minimum_required_agreement,accepted
P13,equal_width,9000,DBL,1.0,0.85,True
P13,equal_width,9000,DMM,1.0,0.85,True
P13,equal_width,9000,ISF,1.0,0.85,True
P13,equal_width,9001,DBL,1.0,0.85,True
P13,equal_width,9001,DMM,1.0,0.85,True
P13,equal_width,9001,ISF,1.0,0.85,True
P13,equal_width,9002,DBL,1.0,0.85,True
P13,equal_width,9002,DMM,1.0,0.85,True
P13,equal_width,9002,ISF,1.0,0.85,True
P13,equal_width,9003,DBL,1.0,0.85,True
P13,equal_width,9003,DMM,1.0,0.85,True
P13,equal_width,9003,ISF,1.0,0.85,True
P13,equal_width,9004,DBL,1.0,0.85,True
P13,equal_width,9004,DMM,1.0,0.85,True
P13,equal_width,9004,ISF,1.0,0.85,True
P13,equal_width,9005,DBL,1.0,0.85,True
P13,equal_width,9005,DMM,1.0,0.85,True
P13,equal_width,9005,ISF,1.0,0.85,True
P13,equal_width,9006,DBL,1.0,0.85,True
P13,equal_width,9006,DMM,1.0,0.85,True
P13,equal_width,9006,ISF,1.0,0.85,True
P13,equal_width,9007,DBL,1.0,0.85,True
P13,equal_width,9007,DMM,1.0,0.85,True
P13,equal_width,9007,ISF,1.0,0.85,True
P13,equal_width,9008,DBL,1.0,0.85,True
P13,equal_width,9008,DMM,1.0,0.85,True
P13,equal_width,9008,ISF,1.0,0.85,True
P13,equal_width,9009,DBL,1.0,0.85,True
P13,equal_width,9009,DMM,1.0,0.85,True
P13,equal_width,9009,ISF,1.0,0.85,True
P13,equal_width,9010,DBL,1.0,0.85,True
P13,equal_width,9010,DMM,1.0,0.85,True
P13,equal_width,9010,ISF,1.0,0.85,True
P13,equal_width,9011,DBL,1.0,0.85,True
P13,equal_width,9011,DMM,1.0,0.85,True
P13,equal_width,9011,ISF,1.0,0.85,True
P13,equal_width,9012,DBL,1.0,0.85,True
P13,equal_width,9012,DMM,1.0,0.85,True
P13,equal_width,9012,ISF,1.0,0.85,True
P13,equal_width,9013,DBL,1.0,0.85,True
P13,equal_width,9013,DMM,1.0,0.85,True
P13,equal_width,9013,ISF,1.0,0.85,True
P13,equal_width,9014,DBL,1.0,0.85,True
P13,equal_width,9014,DMM,1.0,0.85,True
P13,equal_width,9014,ISF,1.0,0.85,True
P13,equal_width,9015,DBL,1.0,0.85,True
P13,equal_width,9015,DMM,1.0,0.85,True
P13,equal_width,9015,ISF,1.0,0.85,True
P13,equal_width,9016,DBL,1.0,0.85,True
P13,equal_width,9016,DMM,1.0,0.85,True
P13,equal_width,9016,ISF,1.0,0.85,True
P13,equal_width,9017,DBL,1.0,0.85,True
P13,equal_width,9017,DMM,1.0,0.85,True
P13,equal_width,9017,ISF,1.0,0.85,True
P13,equal_width,9018,DBL,1.0,0.85,True
P13,equal_width,9018,DMM,1.0,0.85,True
P13,equal_width,9018,ISF,1.0,0.85,True
P13,equal_width,9019,DBL,1.0,0.85,True
P13,equal_width,9019,DMM,1.0,0.85,True
P13,equal_width,9019,ISF,1.0,0.85,True
P13,equal_width,9020,DBL,1.0,0.85,True
P13,equal_width,9020,DMM,1.0,0.85,True
P13,equal_width,9020,ISF,1.0,0.85,True
