code,scenario,framework,E_GMI_mean,E_GMI_ci_lower,E_GMI_ci_upper,threshold_mean,threshold_ci_lower,threshold_ci_upper,success_rate_mean,ranking_match_fraction_within_scenario,seed_count
P1,baseline,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P1,baseline,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P1,baseline,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P1,equal_standard_dimensions,DBL,0.14213069135571738,0.141110366966802,0.14315101574463276,0.0,0.0,0.0,0.13850666666666667,1.0,30
P1,equal_standard_dimensions,DMM,0.14213069135571738,0.141110366966802,0.14315101574463276,0.0,0.0,0.0,0.13850666666666667,1.0,30
P1,equal_standard_dimensions,ISF,0.17291762449261372,0.17199933274670948,0.17383591623851796,0.0,0.0,0.0,0.13850666666666667,1.0,30
P1,quality_heavy,DBL,0.19958187661599844,0.19842169597653936,0.20074205725545752,0.0,0.0,0.0,0.13850666666666667,1.0,30
P1,quality_heavy,DMM,0.19958187661599844,0.19842169597653936,0.20074205725545752,0.0,0.0,0.0,0.13850666666666667,1.0,30
P1,quality_heavy,ISF,0.2327107474627299,0.2316999432497465,0.23372155167571332,0.0,0.0,0.0,0.13850666666666667,1.0,30
P1,security_heavy,DBL,0.10806771119927581,0.10726873121780278,0.10886669118074885,0.0,0.0,0.0,0.13850666666666667,1.0,30
P1,security_heavy,DMM,0.10806771119927581,0.10726873121780278,0.10886669118074885,0.0,0.0,0.0,0.13850666666666667,1.0,30
P1,security_heavy,ISF,0.1521782818960141,0.15148533252722715,0.15287123126480104,0.0,0.0,0.0,0.13850666666666667,1.0,30
P10,baseline,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P10,baseline,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P10,baseline,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P10,concentrated_beta_shapes,DBL,0.14498305965676173,0.14395504168672624,0.14601107762679721,0.0,0.0,0.0,0.14010666666666666,1.0,30
P10,concentrated_beta_shapes,DMM,0.12475258491231601,0.12383737172857558,0.12566779809605644,0.0,0.0,0.0,0.14010666666666666,1.0,30
P10,concentrated_beta_shapes,ISF,0.15547654518219317,0.15467509815085767,0.15627799221352867,0.0,0.0,0.0,0.14010666666666666,1.0,30
P10,diffuse_beta_shapes,DBL,0.14362589598101927,0.14267051424221724,0.1445812777198213,0.0,0.0,0.0,0.1384,1.0,30
P10,diffuse_beta_shapes,DMM,0.12366222203367717,0.12280792525675631,0.12451651881059804,0.0,0.0,0.0,0.1384,1.0,30
P10,diffuse_beta_shapes,ISF,0.15451491180791674,0.15376282628095536,0.15526699733487812,0.0,0.0,0.0,0.1384,1.0,30
P10,moderate_beta_shapes,DBL,0.14394905164039146,0.14305106508581322,0.1448470381949697,0.0,0.0,0.0,0.1386,1.0,30
P10,moderate_beta_shapes,DMM,0.12390786956553107,0.12307709734790588,0.12473864178315626,0.0,0.0,0.0,0.1386,1.0,30
P10,moderate_beta_shapes,ISF,0.15472676951193218,0.15400245934360418,0.15545107968026017,0.0,0.0,0.0,0.1386,1.0,30
P11,baseline,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P11,baseline,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P11,baseline,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P11,narrow_volume_bounds,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P11,narrow_volume_bounds,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P11,narrow_volume_bounds,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P11,pareto_alpha_1_5,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P11,pareto_alpha_1_5,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P11,pareto_alpha_1_5,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P11,pareto_alpha_3_0,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P11,pareto_alpha_3_0,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P11,pareto_alpha_3_0,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P11,wide_volume_bounds,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P11,wide_volume_bounds,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P11,wide_volume_bounds,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P12,baseline,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P12,baseline,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P12,baseline,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P12,network_m_2,DBL,0.15008611252760484,0.1486384375360132,0.1515337875191965,0.0,0.0,0.0,0.14242666666666667,1.0,30
P12,network_m_2,DMM,0.1295255927253807,0.12812800260599994,0.13092318284476145,0.0,0.0,0.0,0.14242666666666667,1.0,30
P12,network_m_2,ISF,0.15962077716639878,0.15840964563830928,0.16083190869448827,0.0,0.0,0.0,0.14242666666666667,1.0,30
P12,network_m_3,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P12,network_m_3,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P12,network_m_3,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P12,network_m_5,DBL,0.14072274830319817,0.14004461900050125,0.1414008776058951,0.0,0.0,0.0,0.13642666666666667,1.0,30
P12,network_m_5,DMM,0.12104094161465571,0.12041926841912273,0.1216626148101887,0.0,0.0,0.0,0.13642666666666667,1.0,30
P12,network_m_5,ISF,0.1522175935297652,0.15168180555744712,0.15275338150208326,0.0,0.0,0.0,0.13642666666666667,1.0,30
P13,baseline,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P13,baseline,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P13,baseline,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P2,D1_completeness_heavy,DBL,0.15039321406206302,0.1496549381158929,0.15113149000823314,0.0,0.0,0.0,0.14369333333333334,1.0,30
P2,D1_completeness_heavy,DMM,0.12953072519271414,0.12886095352850574,0.13020049685692253,0.0,0.0,0.0,0.14369333333333334,1.0,30
P2,D1_completeness_heavy,ISF,0.15977316481692688,0.15919245358735057,0.1603538760465032,0.0,0.0,0.0,0.14369333333333334,1.0,30
P2,D1_equal,DBL,0.1347455244643229,0.13379773267126877,0.13569331625737702,0.0,0.0,0.0,0.13076000000000002,1.0,30
P2,D1_equal,DMM,0.11584447878610997,0.114997977874519,0.11669097969770094,0.0,0.0,0.0,0.13076000000000002,1.0,30
P2,D1_equal,ISF,0.14742746952625385,0.14668296175938914,0.14817197729311857,0.0,0.0,0.0,0.13076000000000002,1.0,30
P2,D1_schema_heavy,DBL,0.10106275734655977,0.10002509815900841,0.10210041653411113,0.05100000000000001,0.03406206464263613,0.0679379353573639,0.10183999999999999,1.0,30
P2,D1_schema_heavy,DMM,0.08632505969960774,0.08539328065300085,0.08725683874621463,0.0,0.0,0.0,0.10183999999999999,1.0,30
P2,D1_schema_heavy,ISF,0.1207540498329985,0.11992831515915803,0.12157978450683898,0.0,0.0,0.0,0.10183999999999999,1.0,30
P2,baseline,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P2,baseline,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P2,baseline,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P21,baseline,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P21,baseline,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P21,baseline,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P21,freshness_K_10,DBL,0.14469055710994913,0.14373057073283863,0.14565054348705964,0.0,0.0,0.0,0.13850666666666667,1.0,30
P21,freshness_K_10,DMM,0.1245174187054495,0.12364367393470307,0.12539116347619592,0.0,0.0,0.0,0.13850666666666667,1.0,30
P21,freshness_K_10,ISF,0.15525711805157705,0.15449739212164487,0.15601684398150922,0.0,0.0,0.0,0.13850666666666667,1.0,30
P21,freshness_K_20,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P21,freshness_K_20,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P21,freshness_K_20,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P21,freshness_K_40,DBL,0.14527105373884705,0.14427113953408752,0.14627096794360658,0.0,0.0,0.0,0.13850666666666667,1.0,30
P21,freshness_K_40,DMM,0.12521401466012697,0.12428751370878761,0.12614051561146633,0.0,0.0,0.0,0.13850666666666667,1.0,30
P21,freshness_K_40,ISF,0.15583761468047494,0.1550345833042718,0.15664064605667807,0.0,0.0,0.0,0.13850666666666667,1.0,30
P3,D2_encryption_heavy,DBL,0.14478967275843882,0.14390971412823633,0.1456696313886413,0.0,0.0,0.0,0.13935999999999998,1.0,30
P3,D2_encryption_heavy,DMM,0.12465791315683283,0.123845604686486,0.12547022162717966,0.0,0.0,0.0,0.13935999999999998,1.0,30
P3,D2_encryption_heavy,ISF,0.15537807010332136,0.15466682695957498,0.15608931324706773,0.0,0.0,0.0,0.13935999999999998,1.0,30
P3,D2_equal,DBL,0.14492705394268665,0.1440292576846421,0.14582485020073122,0.0,0.0,0.0,0.13929333333333332,1.0,30
P3,D2_equal,DMM,0.12473819525099245,0.12392905819069867,0.12554733231128623,0.0,0.0,0.0,0.13929333333333332,1.0,30
P3,D2_equal,ISF,0.15546303955959626,0.15474616050673629,0.15617991861245623,0.0,0.0,0.0,0.13929333333333332,1.0,30
P3,D2_incident_heavy,DBL,0.1448163917937721,0.14382432385024432,0.14580845973729986,0.0,0.0,0.0,0.13965333333333335,1.0,30
P3,D2_incident_heavy,DMM,0.12465370593644015,0.12374677116922615,0.12556064070365416,0.0,0.0,0.0,0.13965333333333335,1.0,30
P3,D2_incident_heavy,ISF,0.15537995983711994,0.15458526932929958,0.1561746503449403,0.0,0.0,0.0,0.13965333333333335,1.0,30
P3,baseline,DBL,0.14489079326456134,0.14391582579601106,0.1458657607331116,0.0,0.0,0.0,0.13850666666666667,1.0,30
P3,baseline,DMM,0.12475770209098415,0.12386427146128261,0.12565113272068568,0.0,0.0,0.0,0.13850666666666667,1.0,30
P3,baseline,ISF,0.15545735420618925,0.15468145292551247,0.15623325548686604,0.0,0.0,0.0,0.13850666666666667,1.0,30
P4,D3_equal,DBL,0.1446679259676979,0.14365752326284154,0.14567832867255426,0.0,0.0,0.0,0.1388133333333333,1.0,30
P4,D3_equal,DMM,0.12453056067282112,0.12360192902135436,0.12545919232428787,0.0,0.0,0.0,0.1388133333333333,1.0,30
P4,D3_equal,ISF,0.15527926081069285,0.1544671849114279,0.15609133670995778,0.0,0.0,0.0,0.1388133333333333,1.0,30
