code,scenario,seed,framework,shock_type,impact,affected_organizations,affected_fraction,mean_dimension_loss,maximum_dimension_loss,pre_shock_E_GMI,post_shock_E_GMI,immediate_E_GMI_loss,pre_shock_ranking,post_shock_ranking,ranking_preserved
P12,network_m_2,9000,DBL,security,0.3,50,1.0,0.006680000000000004,0.03600000000000005,0.14899075282919047,0.14765475282919047,0.0013360000000000039,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9000,DMM,security,0.3,50,1.0,0.006680000000000004,0.03600000000000005,0.12833110628817246,0.12699510628817248,0.001335999999999976,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9000,ISF,security,0.3,50,1.0,0.006680000000000004,0.03600000000000005,0.1585810196596589,0.1572450196596589,0.0013360000000000039,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9001,DBL,security,0.3,50,1.0,0.006754645554735836,0.040000000000000036,0.14845615140049737,0.1471052222895502,0.0013509291109471688,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9001,DMM,security,0.3,50,1.0,0.006754645554735836,0.040000000000000036,0.1278008698495287,0.12644994073858157,0.001350929110947141,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9001,ISF,security,0.3,50,1.0,0.006754645554735836,0.040000000000000036,0.15817240356111012,0.15682147445016295,0.0013509291109471688,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9002,DBL,security,0.3,49,0.98,0.006389350504339657,0.0490781747126431,0.14991647472069844,0.1486641620218479,0.0012523126988505384,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9002,DMM,security,0.3,49,0.98,0.006389350504339657,0.0490781747126431,0.1295069866477496,0.12825467394889903,0.0012523126988505662,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9002,ISF,security,0.3,49,0.98,0.006389350504339657,0.0490781747126431,0.15958079534524294,0.15832848264639238,0.0012523126988505662,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9003,DBL,security,0.3,50,1.0,0.008120000000000006,0.03600000000000003,0.1463211833342463,0.14469718333424628,0.0016240000000000143,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9003,DMM,security,0.3,50,1.0,0.008120000000000006,0.03600000000000003,0.1257272025362751,0.12410320253627505,0.001624000000000042,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9003,ISF,security,0.3,50,1.0,0.008120000000000006,0.03600000000000003,0.1563960839762534,0.15477208397625342,0.0016239999999999866,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9004,DBL,security,0.3,50,1.0,0.005280000000000003,0.024000000000000014,0.14951240209647623,0.1484564020964762,0.0010560000000000291,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9004,DMM,security,0.3,50,1.0,0.005280000000000003,0.024000000000000014,0.1292255814373749,0.12816958143737486,0.0010560000000000291,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9004,ISF,security,0.3,50,1.0,0.005280000000000003,0.024000000000000014,0.15926862322374427,0.15821262322374427,0.0010560000000000014,ISF>DBL>DMM,ISF>DBL>DMM,True
P12,network_m_2,9005,DBL,security,0.3,50,1.0,0.007080000000000004,0.050000000000000044,0.14775587485952602,0.14633987485952601,0.0014160000000000006,ISF>DBL>DMM,ISF>DBL>DMM,True
