seed,population_size,dimension,submetric,mean
1000,50,D1,completeness_ratio,0.4645437501825015
1000,50,D1,duplicate_rate,0.5693263128622719
1000,50,D1,schema_pass_rate,0.45415499053679254
1000,50,D2,encryption_coverage,0.43602917401721586
1000,50,D2,normalized_breach_latency,0.5510722338615538
1000,50,D2,policy_violation_rate,0.5642899506707184
1000,50,D3,catalog_coverage,0.43167254432076424
1000,50,D3,catalog_freshness,0.4390442504324385
1000,50,D3,lineage_rate,0.4325193352210049
1000,50,D4,consent_propagation_rate,0.43173436769885326
1000,50,D4,rule_pass_rate,0.451916569841152
1000,50,D5,api_adherence_rate,0.4895970569982421
1000,50,D5,format_translation_rate,0.4394941641242861
1000,50,D5,schema_reconciliation_rate,0.4352516939370682
1000,50,SVC,audit_trail_completeness,0.4531450800313958
1000,50,SVC,cross_border_flagging_rate,0.4537158446943673
1000,50,SVC,localization_compliance_rate,0.4196632542070317
1001,50,D1,completeness_ratio,0.4606013314786705
1001,50,D1,duplicate_rate,0.5024289968800147
1001,50,D1,schema_pass_rate,0.4521551075539032
1001,50,D2,encryption_coverage,0.4361234792836012
1001,50,D2,normalized_breach_latency,0.5694390648508973
1001,50,D2,policy_violation_rate,0.5597274947957706
1001,50,D3,catalog_coverage,0.47510818095146945
1001,50,D3,catalog_freshness,0.4439309858473446
1001,50,D3,lineage_rate,0.4360272035806372
1001,50,D4,consent_propagation_rate,0.4574298735134068
1001,50,D4,rule_pass_rate,0.46749077575596465
1001,50,D5,api_adherence_rate,0.43534571359446916
1001,50,D5,format_translation_rate,0.44890200836676464
1001,50,D5,schema_reconciliation_rate,0.4487667389453074
1001,50,SVC,audit_trail_completeness,0.4939786417040974
1001,50,SVC,cross_border_flagging_rate,0.48546657463162046
1001,50,SVC,localization_compliance_rate,0.45286508754384225
1002,50,D1,completeness_ratio,0.44332893318310806
1002,50,D1,duplicate_rate,0.5292669813449059
1002,50,D1,schema_pass_rate,0.4604009250953976
1002,50,D2,encryption_coverage,0.4531746641421487
1002,50,D2,normalized_breach_latency,0.5274059620894207
1002,50,D2,policy_violation_rate,0.5477470741521323
1002,50,D3,catalog_coverage,0.4304188676220836
1002,50,D3,catalog_freshness,0.4479750827053131
1002,50,D3,lineage_rate,0.4479954183393549
1002,50,D4,consent_propagation_rate,0.44670063802847393
1002,50,D4,rule_pass_rate,0.4742514864032951
1002,50,D5,api_adherence_rate,0.45955181978610765
1002,50,D5,format_translation_rate,0.4553604987118772
1002,50,D5,schema_reconciliation_rate,0.4622884685487439
1002,50,SVC,audit_trail_completeness,0.44021525787102517
1002,50,SVC,cross_border_flagging_rate,0.4460419261122607
1002,50,SVC,localization_compliance_rate,0.4094044831932721
1003,50,D1,completeness_ratio,0.42901336846366134
1003,50,D1,duplicate_rate,0.527989813308874
1003,50,D1,schema_pass_rate,0.4546786273890415
1003,50,D2,encryption_coverage,0.46014039739041557
1003,50,D2,normalized_breach_latency,0.5447089421784793
1003,50,D2,policy_violation_rate,0.5742120694903694
1003,50,D3,catalog_coverage,0.42845521241943224
1003,50,D3,catalog_freshness,0.47713552974907425
1003,50,D3,lineage_rate,0.45412814100229826
1003,50,D4,consent_propagation_rate,0.46813367774172554
1003,50,D4,rule_pass_rate,0.4442108816321911
1003,50,D5,api_adherence_rate,0.45113120171095966
1003,50,D5,format_translation_rate,0.4240527742331838
1003,50,D5,schema_reconciliation_rate,0.4642714141254296
1003,50,SVC,audit_trail_completeness,0.46001059927395926
1003,50,SVC,cross_border_flagging_rate,0.43913279735539995
1003,50,SVC,localization_compliance_rate,0.47479166769813574
1004,50,D1,completeness_ratio,0.43192086047798794
1004,50,D1,duplicate_rate,0.5609034701909872
1004,50,D1,schema_pass_rate,0.44284397742066167
1004,50,D2,encryption_coverage,0.41200291190639793
1004,50,D2,normalized_breach_latency,0.5527334316459974
1004,50,D2,policy_violation_rate,0.5950708691638167
1004,50,D3,catalog_coverage,0.4454534553582935
1004,50,D3,catalog_freshness,0.44101062825793186
1004,50,D3,lineage_rate,0.4490906898521462
1004,50,D4,consent_propagation_rate,0.4786267505013944
1004,50,D4,rule_pass_rate,0.4724583931934944
1004,50,D5,api_adherence_rate,0.476441923218481
1004,50,D5,format_translation_rate,0.43973586603979453
1004,50,D5,schema_reconciliation_rate,0.4487599191609376
1004,50,SVC,audit_trail_completeness,0.43400724114708844
1004,50,SVC,cross_border_flagging_rate,0.4429653019672733
1004,50,SVC,localization_compliance_rate,0.44401021302789395
1005,50,D1,completeness_ratio,0.43450242339327244
1005,50,D1,duplicate_rate,0.5403746143874011
1005,50,D1,schema_pass_rate,0.44337590368782726
1005,50,D2,encryption_coverage,0.4260936805391419
