code,scenario,framework,absolute_E_GMI_difference,maximum_allowed_E_GMI_difference,absolute_threshold_difference,maximum_allowed_threshold_difference,ranking_match_fraction,minimum_required_ranking_match_fraction,mean_dimension_rank_correlation,minimum_required_dimension_rank_correlation,accepted
P9,balanced_types_stress_test,DBL,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P9,balanced_types_stress_test,DMM,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P9,balanced_types_stress_test,ISF,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P9,iran_calibrated_baseline,DBL,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P9,iran_calibrated_baseline,DMM,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P9,iran_calibrated_baseline,ISF,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P9,original_draft_stress_test,DBL,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P9,original_draft_stress_test,DMM,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P9,original_draft_stress_test,ISF,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P9,private_sector_heavy,DBL,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P9,private_sector_heavy,DMM,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P9,private_sector_heavy,ISF,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P9,public_sector_heavy,DBL,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P9,public_sector_heavy,DMM,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P9,public_sector_heavy,ISF,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P9,state_enterprise_heavy,DBL,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P9,state_enterprise_heavy,DMM,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
P9,state_enterprise_heavy,ISF,0.0,0.02,0.0,0.1,1.0,0.9,,0.9,True
